name,role,team,price,expected_points,position_scarcity,risk_factor,ev_score,ev_percentile
Montipò,P,Verona,10,12.333333333333334,0.13999999999999999,0.31666666666666665,3.5115740740740744,0.857976653696498
Vojvoda,D,Como,10,14.100000000000001,0.15806451612903225,0.35860215053763445,3.5044375,0.8560311284046692
Sava,P,Udinese,8,9.866666666666667,0.13999999999999999,0.32333333333333336,3.4773148148148154,0.8540856031128404
Terracciano F.,D,Milan,3,4.7,0.15806451612903225,0.43440860215053767,3.433611111111111,0.8492217898832685
Rus,D,Pisa,3,4.7,0.15806451612903225,0.43440860215053767,3.433611111111111,0.8492217898832685
Otoa,D,Genoa,3,4.7,0.15806451612903225,0.43440860215053767,3.433611111111111,0.8492217898832685
Ravanelli,D,Cremonese,3,4.7,0.15806451612903225,0.43440860215053767,3.433611111111111,0.8492217898832685
Perin,P,Juventus,2,2.466666666666667,0.13999999999999999,0.33666666666666667,3.4087962962962965,0.8443579766536965
Suzuki,P,Parma,15,17.266666666666666,0.13999999999999999,0.29666666666666663,3.373395061728395,0.8424124513618677
Noslin,A,Lazio,9,15.414432989690724,0.18529411764705883,0.43823529411764706,3.3724589931625752,0.8404669260700389
Ramadani,C,Lecce,11,14.331100478468901,0.15180722891566265,0.3489156626506024,3.3686501516157428,0.8375486381322957
Tourè I.,C,Pisa,11,14.331100478468901,0.15180722891566265,0.3489156626506024,3.3686501516157428,0.8375486381322957
Kostic,C,Juventus,7,9.554066985645933,0.15180722891566265,0.38506024096385544,3.333148181458431,0.8336575875486382
Lipani,C,Sassuolo,7,9.554066985645933,0.15180722891566265,0.38506024096385544,3.333148181458431,0.8336575875486382
Taremi,A,Inter,5,8.808247422680413,0.18529411764705883,0.4607843137254902,3.32957806355617,0.8287937743190662
Okafor,A,Milan,5,8.808247422680413,0.18529411764705883,0.4607843137254902,3.32957806355617,0.8287937743190662
Bayo V.,A,Udinese,5,8.808247422680413,0.18529411764705883,0.4607843137254902,3.32957806355617,0.8287937743190662
Miretti,C,Juventus,9,11.942583732057416,0.15180722891566265,0.3687951807228915,3.3262730554092936,0.8229571984435797
Gineitis,C,Torino,9,11.942583732057416,0.15180722891566265,0.3687951807228915,3.3262730554092936,0.8229571984435797
Ordonez C.,C,Parma,9,11.942583732057416,0.15180722891566265,0.3687951807228915,3.3262730554092936,0.8229571984435797
Pierotti,C,Lecce,20,23.885167464114833,0.15180722891566265,0.3043373493975904,3.299353036789451,0.8190661478599222
Djimsiti,D,Atalanta,15,18.8,0.15806451612903225,0.3236559139784946,3.2847777777777782,0.8171206225680934
Cuadrado,D,Pisa,13,16.45,0.15806451612903225,0.33440860215053764,3.26363782051282,0.8142023346303502
Maripan,D,Torino,13,16.45,0.15806451612903225,0.33440860215053764,3.26363782051282,0.8142023346303502
Ahanor,D,Atalanta,11,14.100000000000001,0.15806451612903225,0.34946236559139787,3.23125,0.8103112840466926
Bertola,D,Udinese,11,14.100000000000001,0.15806451612903225,0.34946236559139787,3.23125,0.8103112840466926
Loftus-Cheek,C,Milan,16,19.108133971291867,0.15180722891566265,0.31939759036144577,3.2279261005929354,0.806420233463035
Gaetano,C,Cagliari,16,19.108133971291867,0.15180722891566265,0.31939759036144577,3.2279261005929354,0.806420233463035
Vogliacco,D,Genoa,5,7.050000000000001,0.15806451612903225,0.41236559139784945,3.2106875000000006,0.7957198443579766
Fortini,D,Fiorentina,5,7.050000000000001,0.15806451612903225,0.41236559139784945,3.2106875000000006,0.7957198443579766
Canestrelli,D,Pisa,5,7.050000000000001,0.15806451612903225,0.41236559139784945,3.2106875000000006,0.7957198443579766
Provstgaard,D,Lazio,5,7.050000000000001,0.15806451612903225,0.41236559139784945,3.2106875000000006,0.7957198443579766
Bartesaghi,D,Milan,5,7.050000000000001,0.15806451612903225,0.41236559139784945,3.2106875000000006,0.7957198443579766
Juan Jesus,D,Napoli,5,7.050000000000001,0.15806451612903225,0.41236559139784945,3.2106875000000006,0.7957198443579766
Schuurs,D,Torino,5,7.050000000000001,0.15806451612903225,0.41236559139784945,3.2106875000000006,0.7957198443579766
Mazzocchi,D,Napoli,5,7.050000000000001,0.15806451612903225,0.41236559139784945,3.2106875000000006,0.7957198443579766
Rugani,D,Juventus,5,7.050000000000001,0.15806451612903225,0.41236559139784945,3.2106875000000006,0.7957198443579766
Coulibaly L.,C,Lecce,14,16.719617224880384,0.15180722891566265,0.328433734939759,3.185069938875026,0.7840466926070039
Luis Henrique,C,Inter,14,16.719617224880384,0.15180722891566265,0.328433734939759,3.185069938875026,0.7840466926070039
Harroui,C,Verona,14,16.719617224880384,0.15180722891566265,0.328433734939759,3.185069938875026,0.7840466926070039
Mateus Lusuardi,D,Pisa,7,9.4,0.15806451612903225,0.3967741935483871,3.138928571428572,0.7791828793774319
Patric,D,Lazio,7,9.4,0.15806451612903225,0.3967741935483871,3.138928571428572,0.7791828793774319
Piotrowski,C,Udinese,12,14.331100478468901,0.15180722891566265,0.3404819277108434,3.127928389917813,0.7752918287937743
Pierret,C,Lecce,12,14.331100478468901,0.15180722891566265,0.3404819277108434,3.127928389917813,0.7752918287937743
Tete Morente,C,Lecce,19,21.49665071770335,0.15180722891566265,0.30855421686746987,3.1067559423041935,0.7723735408560312
Ismajli,D,Torino,16,18.8,0.15806451612903225,0.3182795698924731,3.103958333333334,0.769455252918288
Coco,D,Torino,16,18.8,0.15806451612903225,0.3182795698924731,3.103958333333334,0.769455252918288
Guendouzi,C,Lazio,24,26.273684210526316,0.15180722891566265,0.2874698795180723,3.0977386048854196,0.7665369649805448
Falcone,P,Lecce,14,14.8,0.13999999999999999,0.30000000000000004,3.0833333333333335,0.7645914396887159
Sanabria,A,Torino,10,15.414432989690724,0.18529411764705883,0.4323529411764706,3.0669954299075353,0.7616731517509727
Sanchez,A,Udinese,10,15.414432989690724,0.18529411764705883,0.4323529411764706,3.0669954299075353,0.7616731517509727
Caqueret,C,Como,27,28.662200956937802,0.15180722891566265,0.27602409638554215,3.0521206016345785,0.7587548638132295
Masini,C,Genoa,10,11.942583732057416,0.15180722891566265,0.35734939759036144,3.0479302213777157,0.7568093385214008
Okereke,A,Cremonese,7,11.010309278350515,0.18529411764705883,0.45,3.0322943078815117,0.754863813229572
Raspadori,A,Napoli,20,28.62680412371134,0.18529411764705883,0.3970588235294118,3.024997342969497,0.7529182879377432
